Date,Chevron,Walmart,Apple,JPMorgan,Amazon,3M,Coca-Cola,AT&T,S&P500,XOM,CMCSA,C,CSCO,DIS,ENB,F,IBM,KMB,MACY,MCD,MMC,MSFT,PEP,PFE,SBUX,TM,WEN,ADM,ABT,ADBE,AES,AFL,APD,ALL,MO,AEE,AEP,AIG,AMGN,ADI,AON,BSX,CPB,CL,DOV,EMN,GD,GIS,LOW,NEM,PG,TGT,WFC
20000103,41.81250,66.81250,0.99944,48.58333,4.46875,47.18750,28.18750,35.49849,1455.22,39.15625,15.583333,397.5,54.03125,29.471687,4.90625,28.782394,110.898659,61.301533,25.1875,39.625,47.28125,58.28125,36.875,30.241936,3.082031,97.125,18.5,10.884354,15.711531,16.390625,36.25,11.1875,30.35384,23.5,23.4375,32.3125,31.4375,1385.833374,62.9375,45.09375,39,11.5,37.25,31.125,29.410976,23.21875,24.53125,17.21875,13.9375,24.0625,53.59375,36.03125,19.5625
20000104,41.81250,64.31250,0.91518,47.25000,4.09688,45.31250,28.21875,33.42145,1399.42,38.40625,14.416667,373.125,51,31.198063,4.859375,27.820692,107.134323,60.762222,24.46875,38.8125,45.15625,56.3125,35.9375,29.115274,2.984375,92.625,19,10.770975,15.26263,15.015625,34.8125,10.890625,29.42877,22.75,23.625,32.3125,31.8125,1315,58.125,42.8125,38.125,11.6875,35.875,30.3125,28.866327,22.65625,25.5625,16.90625,13.1875,22.25,52.5625,34.46875,18.59375
20000105,42.56250,63.00000,0.92857,46.95833,3.48750,46.62500,28.46875,33.94071,1402.11,40.5,14.041667,388.125,50.84375,32.492844,4.9375,27.923731,110.898659,60.462608,24.9375,39.4375,43.53125,56.90625,35.0625,29.589659,3.023438,93,19.4375,10.600907,15.234574,15.3125,35.1875,10.828125,29.602221,23.75,23.5,33.5625,33,1318.125,60.125,43.4375,39.25,12.53125,35.5625,29.28125,28.992016,23.78125,27.3125,16.8125,13.171875,22.5,51.5625,33.6875,18.40625
20000106,44.37500,63.68750,0.84821,47.62500,3.27813,50.37500,28.50000,33.04381,1403.45,42.59375,14.583333,406.875,50,31.198063,5,27.958078,108.986618,61.361458,24.71875,38.875,46.21875,55,36.625,30.657021,3.132813,84.75,19.375,10.657596,15.767643,15.4375,35.46875,11.046875,31.567993,23.625,23.0625,33.4375,33.1875,1358.333374,61.125,42.25,40.625,12.875,36.3125,29.21875,29.117704,25.28125,27.40625,16.78125,13.140625,22.25,53.9375,32.09375,19.21875
20000107,45.15625,68.50000,0.88839,48.50000,3.47813,51.37500,30.37500,33.32704,1441.47,42.46875,14.125,405,52.9375,30.704813,5.125,30.018869,108.508606,63.159157,25.40625,39.875,47.6875,55.71875,37.625,32.732449,3.117188,86,19.9375,10.827664,15.935981,16.1875,36.15625,11.265625,33.765034,24.5,23.6875,33.9375,33.625,1460,68,43.4375,42.75,12.40625,37,30.96875,29.913729,25.21875,28.125,16.8125,13.4375,21.4375,58.25,33.75,19.5625
20000110,43.93750,67.25000,0.87277,47.66667,3.45938,51.12500,29.40625,33.79910,1457.60,41.875,15.9375,403.59375,54.90625,35.39069,5.125,29.469324,112.810707,64.597313,26.1875,40.0625,47.875,56.125,36.875,32.673149,3.25,89.0625,19.8125,10.827664,15.823756,16.8125,37.78125,10.59375,31.683626,23.9375,24,33.6875,33.5,1434.166626,72.125,47.21875,30.125,12,35.8125,31.8125,30.542168,24.4375,27.875,16.46875,13.84375,21.375,57.96875,33.09375,18.9375
20000111,43.53125,66.25000,0.82813,46.54167,3.33750,50.25000,30.40625,33.32704,1438.56,42,14.479167,398.4375,53.25,35.760624,4.90625,28.679356,113.766731,63.159157,25.34375,41,48.3125,54.6875,36.75,32.258064,3.15625,87.1875,19,10.657596,15.599306,15.65625,37.96875,10.375,30.238205,23.875,24.125,33.625,33.625,1410.833374,66.4375,45.28125,28.25,11.84375,36.1875,31.96875,30.667854,24.15625,27.5,16.6875,13.40625,22.625,58.875,34.09375,18.625
20000112,43.37500,65.06250,0.77846,46.83333,3.17813,50.37500,30.75000,31.58044,1432.25,41.75,15.0625,412.5,51.90625,33.232719,4.953125,29.503672,114.244743,62.679771,25.28125,42.75,47.90625,52.90625,36.3125,33.325428,3.164063,85.5,19,10.941043,15.290686,15.578125,38.75,10.203125,30.758556,24,24.25,33.8125,33.875,1453.333374,63.5625,46.75,27.875,11.4375,35.75,32.1875,30.961126,24.9375,26.5,16.65625,13.234375,22.125,58.5,33.71875,19.15625
20000113,43.78125,65.12500,0.86384,47.54167,3.29688,50.37500,30.28125,30.82515,1449.68,42.71875,15.916667,417.1875,53.09375,34.342529,4.953125,29.160206,113.049713,63.219082,25.625,42.3125,48.75,53.90625,35.9375,35.104362,3.390625,85.8125,18.625,10.884354,15.150405,16.40625,39.40625,10.4375,30.52729,24.8125,24.5,33.9375,33.8125,1493.333374,66.8125,46.90625,30.375,11.34375,36.375,32.40625,30.625959,24.65625,26.5,16.71875,13.09375,21.375,57.5,34.5,20.21875
20000114,43.50000,64.50000,0.89676,49.25000,3.21250,49.65625,30.53125,31.72205,1465.15,41.875,16.270832,435,53.78125,33.109406,4.5625,28.438929,114.364243,62.739693,23.9375,42.609375,51.9375,56.125,36.1875,35.104362,3.304688,87.6875,18.4375,11.337868,15.48708,16.578125,41.625,10.734375,29.949121,24.1875,24.25,33.4375,33.8125,1520.833374,68.3125,50.6875,29.9375,11.5,35.3125,31.65625,30.374584,24.25,26.6875,16.34375,13.53125,20.8125,58.5,34.625,20.84375
